bodyId,instance,type,pre,post,status,cropped,size
1667277506,ORN_R,ORN,157,201,Traced,True,142035088
1667281839,,,90,162,Traced,True,90331383
1667281936,,ORN,99,156,Orphan,,91149304
1667592446,ORN,ORN,77,116,Traced,True,63909452
1667592481,ORN,ORN,68,101,Traced,True,65832393
1667592552,ORN,ORN,69,123,Traced,True,71051413
1667592575,ORN_R,ORN,209,238,Traced,True,220010810
1667592674,ORN,ORN,109,151,Traced,True,105590138
1667592917,ORN_R,ORN,167,302,Traced,True,187780023
1667592954,ORN,ORN,135,182,Traced,True,140738758
1667592980,ORN,ORN,115,168,Traced,True,109925864
1667593083,ORN,ORN,51,83,Traced,True,63830788
1667593128,ORN_R,ORN,118,163,Traced,True,110782226
1667597008,ORN,ORN,83,106,Traced,True,69887541
1667597412,ORN,ORN,106,160,Traced,True,96877982
1667929661,ORN,ORN,147,234,Traced,True,119393168
1667933591,,,105,110,Traced,True,105091677
1667933626,ORN_R,ORN,235,410,Traced,True,196520443
1667933640,ORN_R,ORN,171,293,Traced,True,127070851
1667933862,ORN,ORN,67,110,Traced,True,65174265
1667933908,ORN_R,ORN,162,322,Traced,True,137196889
1667933931,ORN,ORN,109,179,Traced,True,97775213
1667934038,ORN,ORN,88,146,Traced,True,89204917
1667934041,ORN,ORN,94,176,Traced,True,87239350
1667995030,ORN,ORN,122,215,Traced,True,146128404
1668258376,ORN,ORN,58,63,Traced,True,73169668
1668262697,ORN,ORN,164,274,Traced,True,200203038
1668266547,ORN_R,ORN,159,277,Traced,True,198687723
1668266562,ORN_L,ORN,151,263,Traced,True,158943634
1668270697,ORN,ORN,115,189,Traced,True,111901176
1668275074,LN(AVM05)_R,olfactory LN,157,530,Traced,False,443649855
1668335478,ORN,ORN,79,127,Traced,True,66822448
1668599546,ORN_L,ORN,166,269,Traced,True,201462409
1668603328,ORN,ORN,166,286,Traced,True,188096702
1668603435,ORN_R,ORN,166,295,Traced,True,214246590
1668603457,ORN,ORN,167,265,Traced,True,167848448
1668607518,ORN,ORN,129,194,Traced,True,151290877
1668611764,ORN_R,ORN,145,221,Traced,True,136854978
1668616407,ORN,ORN,170,232,Traced,True,142694625
1668676767,ORN,ORN,156,266,Traced,True,151070422
1668940163,ORN,ORN,156,273,Traced,True,151976135
1668940289,ORN,ORN,173,260,Traced,True,202278923
1668944259,LN(AVM05)_R,olfactory LN,301,1128,Traced,False,592409489
1668944307,ORN_L,ORN,162,266,Traced,True,166508508
1668948547,ORN_R,ORN,175,283,Traced,True,201521301
1669017843,ORN,ORN,89,106,Traced,True,83245480
1669018043,,,34,48,Traced,True,47029790
1669018125,,,43,51,Traced,True,54757431
1669018304,ORN,ORN,179,271,Traced,True,156253884
1669021944,ORN,ORN,149,170,Traced,True,132628115
1669272579,ORN_R,ORN,198,233,Traced,True,184317688
1669280923,ORN_R,ORN,182,302,Traced,True,208887032
1669281037,ORN_R,ORN,183,302,Traced,True,178350482
1669358817,ORN,ORN,86,107,Traced,True,75990385
1669363503,ORN,ORN,73,117,Traced,True,79465002
1669621744,ORN_R,ORN,169,221,Traced,True,170472141
1669621996,ORN,ORN,112,145,Traced,True,111197819
1669622057,ORN,ORN,156,240,Traced,True,166889009
1669626597,ORN,ORN,176,288,Traced,True,169525248
1669699436,ORN,ORN,64,106,Traced,True,75779943
1669699683,ORN_L,ORN,76,94,Traced,True,83348562
1669699714,ORN_L,ORN,89,95,Traced,True,75879183
1669704840,ORN_L,ORN,164,278,Traced,True,151354817
1669708938,ORN,ORN,62,105,Traced,True,56605871
1669716903,ORN,ORN,157,185,Traced,True,162133691
1669716934,ORN,ORN,157,185,Traced,True,152963284
1669716941,ORN,ORN,49,75,Traced,True,47433930
1669721441,ORN_L,ORN,153,198,Traced,True,157243878
1669721587,ORN,ORN,71,96,Traced,True,79199504
1669725839,ORN,ORN,147,192,Traced,True,157871639
1669726032,ORN,ORN,223,265,Traced,True,217523124
1669730156,ORN,ORN,148,193,Traced,True,151927729
1669924220,LN(AVM02)_R,olfactory LN,2323,7346,Traced,False,2657415858
1669928799,ORN_R,ORN,164,219,Traced,True,154153620
1669928802,ORN_L,ORN,104,112,Traced,True,127656728
1669933011,ORN_L,ORN,146,205,Traced,True,132042325
1669946117,ORN,ORN,102,118,Traced,True,99116544
1669967018,ORN,ORN,153,182,Traced,True,149454745
1670045635,ORN,ORN,165,260,Traced,True,150167307
1670045712,ORN,ORN,48,70,Traced,True,57532757
1670252047,ORN,ORN,77,110,Traced,True,68721270
1670252082,ORN_R,ORN,93,142,Traced,True,81647737
1670252125,ORN,ORN,52,66,Traced,True,57953592
1670256226,ORN,ORN,32,38,Traced,True,46734771
1670256369,ORN,ORN,36,45,Traced,True,42682042
1670269656,ORN,ORN,139,223,Traced,True,139820564
1670282465,ORN_L,ORN,205,225,Traced,True,192369418
1670286565,ORN,ORN,59,74,Traced,True,56339847
1670286643,ORN,ORN,67,93,Traced,True,61179651
1670286938,ORN,ORN,66,104,Traced,True,63629643
1670290840,ORN,ORN,56,63,Traced,True,49074909
